"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround","loadgeneratorparallel","apptype"
188.314,189.10,19.7190417362739180,93.6260101638285626,275.00,284932,48,1,13,1,"node"
185.10,191.10,17.9508913907932714,85.6078010426931113,1010.00,286182,44,1,12,1,"node"
185.98,190.10,16.5918958289554759,77.6334805836826717,1022.00,280769,40,1,11,1,"node"
181.43,190.60,15.1539995721025358,69.6477820333832545,257.00,275767,36,1,10,1,"node"
186.43,190.00,14.1670928947961941,61.7543579284166101,238.00,261597,32,1,9,1,"node"
189.90,191.30,12.8282546935531936,53.8017001847620940,255.00,251675,28,1,8,1,"node"
178.77,190.20,11.5275243194329236,45.8564917427041701,1005.00,238698,24,1,7,1,"node"
172.55,189.90,10.1112257054963814,37.9069851699059339,263.00,224948,20,1,6,1,"node"
150.55,189.00,9.0379713901161307,30.1054827004768314,261.00,199861,16,1,5,1,"node"
131.47,195.00,8.1549852643324076,22.4098995063854561,211.00,164906,12,1,4,1,"node"
96.93,181.70,7.7220930232558140,14.8264186046511629,319.00,115240,8,1,3,1,"node"
52.84,182.80,7.2721806981519507,7.3739912279260780,258.00,60875,4,1,2,1,"node"
14.84,166.80,7.4691604987664200,1.8598209641928386,82.00,14997,1,1,1,1,"node"
