"cpu","memory","averagert","trueparallel","maxrt","totalrequests","loadgeneratorinstances","appinstances","testround","loadgeneratorparallel"
229.496,356.10,51.9702599611273081,356.5159833333333341,5020.00,411600,90,1,11,3
,,25.4894748356046275,165.0443495605399633,5027.00,388545,84,1,10,1
,,15.9591005329155660,162.3040524197513063,1042.00,610228,84,1,1,1
,,8.1998592186635829,2.7141534013776459,95.00,19889,1,1,0,2
